iter	MAE
1433	727.1807416
1434	727.1299661
1435	727.0683477
1436	726.9871109
1437	726.9512451
1438	726.9146432
1439	726.8740895
1440	726.5968661
1441	726.4916496
1442	726.4399525
1443	726.3824726
1444	726.3622795
1445	726.321254
1446	726.2488425
1447	726.2056557
1448	726.1807949
1449	726.11558
1450	726.0494498
1451	726.0041123
1452	725.9212926
1453	725.8292427
1454	725.7009707
1455	725.5177438
1456	725.4018987
1457	725.3790235
1458	725.2786921
1459	725.1773828
1460	725.1351282
1461	725.0888215
1462	725.025912
1463	724.9907068
1464	724.9647989
1465	724.9195138
1466	724.8168358
1467	724.7750788
1468	724.680576
1469	724.6256685
1470	724.5250488
1471	724.3451882
1472	724.2828294
1473	724.2551015
1474	724.0444057
1475	723.8348468
1476	723.569468
1477	723.5153213
1478	723.4348364
1479	723.3986671
1480	723.3738967
1481	723.3001082
1482	723.1419091
1483	723.1178678
1484	723.07466
1485	723.0291805
1486	723.0026793
1487	722.7820165
1488	722.7552269
1489	722.5189569
1490	722.4299763
1491	722.3796401
1492	722.1014755
1493	721.8998103
1494	721.8642331
1495	721.7648192
1496	721.697955
1497	721.6679703
1498	721.5762607
1499	721.5249826
1500	721.1908021
1501	721.0343007
1502	720.9021535
1503	720.7710689
1504	720.6612724
1505	720.6204863
1506	720.5893798
1507	720.5219482
1508	720.403951
1509	720.3131422
1510	720.2594278
1511	720.2262979
1512	720.0686318
1513	719.8482728
1514	719.7364862
1515	719.5732859
1516	719.4137351
1517	719.3898835
1518	719.2345376
1519	719.068951
1520	718.8122427
1521	718.7480642
1522	718.7312147
1523	718.7187445
1524	718.7019751
1525	718.6190018
1526	718.4388866
1527	718.3719706
1528	718.2478652
1529	718.1778929
1530	717.9423573
1531	717.8888155
1532	717.7642009
1533	717.7446026
1534	717.6773969
1535	717.5467998
1536	717.4917342
1537	717.312907
1538	717.2566301
1539	717.2080012
1540	717.130065
1541	717.1130046
1542	717.0021357
1543	716.7735341
1544	716.6336668
1545	716.566843
1546	716.5523056
1547	716.5309977
1548	716.4076601
1549	716.377226
1550	716.3491989
1551	716.2859009
1552	716.2324167
1553	716.2140303
1554	716.1850111
1555	716.0729474
1556	716.030273
1557	715.9210704
1558	715.7961441
1559	715.6797012
1560	715.5648043
1561	715.4308047
1562	715.4156937
1563	715.3761829
1564	715.2572625
1565	715.056261
1566	715.0196772
1567	714.9760209
1568	714.9321718
1569	714.8536348
1570	714.7721866
1571	714.7539458
1572	714.4867059
1573	714.4271554
1574	714.3411311
1575	714.3141716
1576	714.2295519
1577	714.2125452
1578	714.1705724
1579	714.0363587
1580	713.9526482
1581	713.9153043
1582	713.8707002
1583	713.8091739
1584	713.7433682
1585	713.5738948
1586	713.5664968
1587	713.547387
1588	713.5314163
1589	713.3981585
1590	713.3545082
1591	713.323115
1592	713.167026
1593	713.0493262
1594	713.0257784
1595	713.0134243
1596	712.9269416
1597	712.8829963
1598	712.8391701
1599	712.4870204
1600	712.364971
1601	712.2899014
1602	712.2394692
1603	712.1204187
1604	711.959953
1605	711.8236598
1606	711.8016581
1607	711.7411309
1608	711.7195128
1609	711.6305562
1610	711.3730362
1611	711.1910276
1612	711.1246462
1613	711.038254
1614	710.9865121
1615	710.8803565
1616	710.8666167
1617	710.7821618
1618	710.768667
1619	710.5911845
1620	710.5397007
1621	710.4483571
1622	710.4101513
1623	710.3824089
1624	710.2727019
1625	710.2494128
1626	710.2331382
1627	710.1618668
1628	710.060112
1629	709.968111
1630	709.7495984
1631	709.6223541
1632	709.5859542
1633	709.436449
1634	709.4021913
1635	709.2490832
1636	709.1627598
1637	709.0446573
1638	708.9704213
1639	708.8873292
1640	708.6891856
1641	708.5406554
1642	708.5055075
1643	708.4909011
1644	708.3758755
1645	708.2329304
1646	708.1183382
1647	708.0858852
1648	708.0623393
1649	708.005916
1650	707.9283976
1651	707.7096924
1652	707.5992978
1653	707.5782676
1654	707.5562982
1655	707.5266145
1656	707.4886707
1657	707.4697883
1658	707.4551671
1659	707.4188683
1660	707.3939428
